date,connections per day,,date,connections per day
01/07/2006,5058,,01/07/2006,5058
02/07/2006,7437,,02/07/2006,7437
03/07/2006,7248,,03/07/2006,7248
04/07/2006,8280,,04/07/2006,8280
05/07/2006,27189,,05/07/2006,27189
06/07/2006,6391,,06/07/2006,6391
07/07/2006,8971,,07/07/2006,8971
08/07/2006,9240,,08/07/2006,9240
09/07/2006,4380,,09/07/2006,4380
10/07/2006,6320,,10/07/2006,6320
11/07/2006,5020,,11/07/2006,5020
12/07/2006,5429,,12/07/2006,5429
13/07/2006,3753,,13/07/2006,3753
14/07/2006,4283,,14/07/2006,4283
15/07/2006,10839,,15/07/2006,10839
16/07/2006,4758,,16/07/2006,4758
17/07/2006,13214,,17/07/2006,13214
18/07/2006,15244,,18/07/2006,15244
19/07/2006,11754,,19/07/2006,11754
20/07/2006,8499,,20/07/2006,8499
21/07/2006,13023,,21/07/2006,13023
22/07/2006,3928,,22/07/2006,3928
23/07/2006,26769,,23/07/2006,26769
24/07/2006,10926,,24/07/2006,10926
25/07/2006,6497,,25/07/2006,6497
26/07/2006,9888,,26/07/2006,9888
27/07/2006,7785,,27/07/2006,7785
28/07/2006,14514,,28/07/2006,14514
29/07/2006,4485,,29/07/2006,4485
30/07/2006,4309,,30/07/2006,4309
31/07/2006,9667,,31/07/2006,9667
01/08/2006,10163,,01/08/2006,10163
02/08/2006,10020,,02/08/2006,10020
03/08/2006,4905,,03/08/2006,4905
04/08/2006,12395,,04/08/2006,12395
05/08/2006,4441,,05/08/2006,4441
06/08/2006,7427,,06/08/2006,7427
07/08/2006,4602,,07/08/2006,4602
08/08/2006,12687,,08/08/2006,12687
09/08/2006,10342,,09/08/2006,10342
10/08/2006,9983,,10/08/2006,9983
11/08/2006,13588,,11/08/2006,13588
12/08/2006,10778,,12/08/2006,10778
13/08/2006,6152,,13/08/2006,6152
14/08/2006,8407,,14/08/2006,8407
15/08/2006,14900,,15/08/2006,14900
16/08/2006,12159,,16/08/2006,12159
17/08/2006,31044,,17/08/2006,31044
18/08/2006,7270,,18/08/2006,7270
19/08/2006,9433,,19/08/2006,9433
20/08/2006,11091,,20/08/2006,11091
21/08/2006,25218,,21/08/2006,25218
22/08/2006,23246,,22/08/2006,23246
23/08/2006,17390,,23/08/2006,17390
24/08/2006,11629,,24/08/2006,11629
25/08/2006,15776,,25/08/2006,15776
26/08/2006,14467,,26/08/2006,14467
27/08/2006,4412,,27/08/2006,4412
28/08/2006,9804,,28/08/2006,9804
29/08/2006,10159,,29/08/2006,10159
30/08/2006,6728,,30/08/2006,6728
31/08/2006,7286,,31/08/2006,7286
01/09/2006,7861,,01/09/2006,7861
02/09/2006,4664,,02/09/2006,4664
03/09/2006,3140,,03/09/2006,3140
04/09/2006,3247,,04/09/2006,3247
05/09/2006,5341,,05/09/2006,5341
06/09/2006,3147,,06/09/2006,3147
07/09/2006,5588,,07/09/2006,5588
08/09/2006,6898,,08/09/2006,6898
09/09/2006,2850,,09/09/2006,2850
10/09/2006,2706,,10/09/2006,2706
11/09/2006,6624,,11/09/2006,6624
12/09/2006,8633,,12/09/2006,8633
13/09/2006,12519,,13/09/2006,12519
14/09/2006,8936,,14/09/2006,8936
15/09/2006,3425,,15/09/2006,3425
16/09/2006,17121,,16/09/2006,17121
,,,17/09/2006,277477
,,,18/09/2006,788297
19/09/2006,8139,,19/09/2006,8139
20/09/2006,31305,,20/09/2006,31305
21/09/2006,9310,,21/09/2006,9310
22/09/2006,5202,,22/09/2006,5202
23/09/2006,8914,,23/09/2006,8914
24/09/2006,4118,,24/09/2006,4118
25/09/2006,5215,,25/09/2006,5215
26/09/2006,13963,,26/09/2006,13963
27/09/2006,4143,,27/09/2006,4143
28/09/2006,11149,,28/09/2006,11149
29/09/2006,25281,,29/09/2006,25281
30/09/2006,15485,,30/09/2006,15485